Variety1,Processing1,Country,TastingGroup
castillo,fully washed,colombia,Cocoa
sl28,fully washed,kenya,Brown Sugar
bourbon,natural,brazil,Brown Sugar
bourbon,washed,burundi,Stone Fruit
bourbon,washed,guatemala,Other Fruit
heirloom,washed,ethiopia,Berry Fruit
caturra,washed,colombia,Citrus Fruit
caturra,natural,brazil,Nutty
catuai,washed,guatemala,Other Fruit
typica,washed,peru,Other Fruit
74110,natural,ethiopia,Alcohol
sl28,fully washed,kenya,Stone Fruit
bourbon,washed,rwanda,Other Fruit
caturra,fully washed,colombia,Citrus Fruit
caturra,washed,colombia,Cocoa
74110,honey,ethiopia,Stone Fruit
heirloom,washed,ethiopia,Berry Fruit
caturra,natural,brazil,Brown Sugar
heirloom,natural,ethiopia,Citrus Fruit
bourbon,washed,guatemala,Stone Fruit
heirloom,washed,ethiopia,Citrus Fruit
heirloom,natural,ethiopia,Alcohol
bourbon,natural,el salvador,Other Fruit
bourbon,natural,burundi,Floral
typica,washed,mexico,Nutty
bourbon,washed,tanzania,Citrus Fruit
74110,natural,ethiopia,Citrus Fruit
catuai,natural,brazil,Nutty
bourbon,honey,honduras,Sweet
caturra,washed,colombia,Citrus Fruit
heirloom,natural,ethiopia,Floral
heirloom,washed,ethiopia,Other Fruit
catuai,natural,brazil,Dried Fruit
heirloom,natural,etbhiopia,Stone Fruit
heirloom,washed,ethiopia,Berry Fruit
geisha,washed,panama,Other Fruit
typica,washed,panama,Nutty
catuai,washed,honduras,Nutty
catuai,natural,brazil,Stone Fruit
typica,washed,ethiopia,Citrus Fruit
bourbon,washed,ethiopia,Stone Fruit
catuai,natural,brazil,Nutty
caturra,washed,colombia,Brown Sugar
caturra,washed,guatemala,Other Fruit
typica,fully washed,peru,Vanilla
heirloom,natural,ethiopia,Stone Fruit
typica,washed,ethiopia,Fatty
ethiopia heirloom,washed,ethiopia,Stone Fruit
catuai,washed,panama,Brown Sugar
caturra,washed,costa rica,Citrus Fruit
catuai,fully washed,honduras,Nutty
heirloom,washed,ethiopia,Brown Sugar
heirloom,washed,ethiopia,Black Tea
catuai,honey,costa rica,Brown Sugar
catuai,honey,costa rica,Dried Fruit
catuai,honey,costa rica,Cocoa
catuai,pulped natural,brazil,Brown Sugar
caturra,fully washed,colombia,Stone Fruit
sl28,washed,kenya,Brown Sugar
catuai,pulped natural,brazil,Floral
catuai,natural,brazil,Berry Fruit
bourbon,fully washed,burundi,Body
ethiopia heirloom,natural,ethiopia,Stone Fruit
bourbon,natural,rwanda,Fatty
colombia,washed,colombia,Cocoa
castillo,washed,colombia,Floral
catuai,natural,brazil,Cocoa
colombia,fully washed,colombia,Citrus Fruit
bourbon,fully washed,guatemala,Other Fruit
catuai,washed,honduras,Cocoa
bourbon,washed,ecuador,Cocoa
74110,fully washed,ethiopia,Floral
sl28,honey,costa rica,Citrus Fruit
heirloom,washed,ethiopia,Citrus Fruit
caturra,fully washed,colombia,Dried Fruit
sl28,washed,kenya,Sweet
caturra,washed,colombia,Citrus Fruit
catuai,washed,costa rica,Black Tea
typica,natural,honduras,Citrus Fruit
heirloom,natural,ethiopia,Citrus Fruit
heirloom,natural,ethiopia,Alcohol
caturra,washed,colombia,Stone Fruit
caturra,washed,guatemala,Nutty
catuai,natural,brazil,Nutty
bourbon,washed,burundi,Citrus Fruit
ethiopia heirloom,natural,ethiopia,Other Fruit
bourbon,washed,guatemala,Brown Sugar
heirloom,washed,ethiopia,Dried Fruit
caturra,washed,colombia,Stone Fruit
pacamara,natural,el salvador,Other Fruit
catuai,natural,brazil,Nutty
sl28,washed,kenya,Berry Fruit
heirloom,natural,ethiopia,Black Tea
heirloom,washed,ethiopia,Black Tea
heirloom,honey,ethiopia,Floral
sl28,washed,kenya,Citrus Fruit
heirloom,washed,ethiopia,Other Fruit
bourbon,washed,rwanda,Other Fruit
bourbon,washed,el salvador,Berry Fruit
catuai,honey,costa rica,Brown Sugar
heirloom,washed,ethiopia,Stone Fruit
caturra,washed,colombia,Stone Fruit
caturra,washed,colombia,Other Fruit
bourbon,washed,colombia,Floral
caturra,washed,colombia,Berry Fruit
bourbon,washed,rwanda,Berry Fruit
heirloom,natural,ethiopia,Brown Sugar
bourbon,honey,rwanda,Other Fruit
heirloom,washed,ethiopia,Sweet
bourbon,washed,burundi,Stone Fruit
caturra,washed,colombia,Brown Spice
typica,washed,peru,Citrus Fruit
typica,washed,colombia,Berry Fruit
caturra,washed,ecuador,Brown Sugar
caturra,washed,colombia,Citrus Fruit
heirloom,washed,ethiopia,Other Fruit
pacas,washed,el salvador,Brown Sugar
sl28,washed,kenya,Sour
heirloom,natural,ethiopia,Citrus Fruit
heirloom,washed,ethiopia,Citrus Fruit
sl28,washed,kenya,Berry Fruit
catuai,washed,honduras,Other Fruit
caturra,washed,colombia,Stone Fruit
heirloom,washed,ethiopia,Black Tea
catuai,washed,costa rica,Brown Spice
sl28,natural,kenya,Citrus Fruit
bourbon,natural,el salvador,Body
heirloom,washed,ethiopia,Dried Fruit
heirloom,washed,ethiopia,Citrus Fruit
sl28,washed,kenya,Berry Fruit
bourbon,washed,rwanda,Citrus Fruit
caturra,natural,costa rica,Vanilla
catuai,washed,honduras,Brown Sugar
castillo,washed,colombia,Floral
heirloom,washed,ethiopia,Other Fruit
sl28,washed,kenya,Other Fruit
geisha,washed,panama,Floral
heirloom,washed,ethiopia,Berry Fruit
caturra,natural,costa rica,Other Fruit
bourbon,natural,burundi,Floral
castillo,honey,colombia,Fatty
bourbon,washed,rwanda,Brown Sugar
caturra,washed,colombia,Floral
caturra,washed,colombia,Other Fruit
bourbon,washed,colombia,Floral
caturra,washed,peru,Fatty
bourbon,washed,burundi,Floral
sl28,washed,kenya,Other Fruit
castillo,washed,colombia,Fatty
caturra,washed,guatemala,Stone Fruit
castillo,washed,colombia,Citrus Fruit
castillo,washed,colombia,Stone Fruit
bourbon,washed,rwanda,Berry Fruit
heirloom,washed,ethiopia,Other Fruit
caturra,natural,costa rica,Stone Fruit
sl28,washed,kenya,Citrus Fruit
caturra,natural,costa rica,Berry Fruit
heirloom,natural,ethiopia,Berry Fruit
bourbon,honey,guatemala,Citrus Fruit
catuai,washed,costa rica,Other Fruit
caturra,washed,honduras,Black Tea
heirloom,washed,ethiopia,Other Fruit
catuai,washed,honduras,Brown Sugar
pacamara,honey,el salvador,Brown Sugar
sl28,washed,uganda,Stone Fruit
bourbon,washed,burundi,Stone Fruit
sl28,washed,kenya,Green/Vegetative
heirloom,washed,ethiopia,Black Tea
caturra,washed,colombia,Citrus Fruit
heirloom,natural,ethiopia,Berry Fruit
heirloom,washed,ethiopia,Berry Fruit
typica,washed,colombia,Berry Fruit
sl28,washed,kenya,Citrus Fruit
caturra,natural,costa rica,Dried Fruit
castillo,washed,colombia,Brown Sugar
catuai,natural,brazil,Brown Sugar
typica,washed,mexico,Cocoa
bourbon,washed,burundi,Brown Sugar
castillo,washed,colombia,Cocoa
catuai,natural,brazil,Cocoa
caturra,washed,nicaragua,Brown Sugar
typica,natural,papua new guinea,Brown Sugar
bourbon,washed,rwanda,Stone Fruit
catuai,honey,costa rica,Brown Sugar
castillo,washed,colombia,Citrus Fruit
various,washed,peru,Brown Sugar
caturra,washed,costa rica,Black Tea
bourbon,washed,guatemala,Citrus Fruit
catuai,washed,peru,Brown Sugar
bourbon,washed,guatemala,Citrus Fruit
bourbon,washed,peru,Brown Sugar
catuai,honey,brazil,Cocoa
bourbon,washed,colombia,Citrus Fruit
bourbon,washed,guatemala,Cocoa
colombia,washed,colombia,Brown Sugar
castillo,washed,colombia,Brown Sugar
pacas,washed,honduras,Stone Fruit
caturra,washed,panama,Other Fruit
bourbon,pulped natural,brazil,Dried Fruit
bourbon,washed,guatemala,Floral
heirloom,washed,ethiopia,Berry Fruit
typica,washed,papua new guinea,Nutty
pacamara,washed,guatemala,Dried Fruit
caturra,washed,colombia,Berry Fruit
caturra,washed,costa rica,Brown Spice
catuai,honey,brazil,Sweet
bourbon,natural,guatemala,Other Fruit
bourbon,pulped natural,brazil,Nutty
ethiopia heirloom,washed,ethiopia,Brown Sugar
caturra,washed,colombia,Cocoa
bourbon,washed,el salvador,Nutty
bourbon,washed,guatemala,Citrus Fruit
bourbon,washed,guatemala,Sweet
bourbon,washed,burundi,Brown Sugar
typica,washed,peru,Citrus Fruit
heirloom,washed,ethiopia,Floral
colombia,washed,colombia,Other Fruit
bourbon,washed,el salvador,Cocoa
caturra,honey,guatemala,Brown Sugar
bourbon,washed,rwanda,Green/Vegetative
bourbon,washed,guatemala,Other Fruit
heirloom,washed,ethiopia,Black Tea
caturra,washed,peru,Other Fruit
ethiopia heirloom,fully washed,ethiopia,Black Tea
bourbon,natural,el salvador,Other Fruit
caturra,washed,guatemala,Cocoa
heirloom,natural,ethiopia,Berry Fruit
bourbon,washed,rwanda,Floral
colombia,natural,colombia,Citrus Fruit
pacamara,natural,el salvador,Citrus Fruit
heirloom,natural,ethiopia,Floral
typica,washed,mexico,Dried Fruit
caturra,washed,colombia,Other Fruit
bourbon,washed,NA,Black Tea
bourbon,washed,burundi,Other Fruit
caturra,natural,costa rica,Body
caturra,washed,colombia,Brown Sugar
colombia,washed,colombia,Brown Sugar
castillo,washed,colombia,Nutty
ethiopia heirloom,washed,ethiopia,Berry Fruit
typica,washed,colombia,Other Fruit
caturra,washed,colombia,Brown Sugar
bourbon,washed,colombia,Brown Sugar
bourbon,washed,guatemala,Brown Sugar
caturra,washed,colombia,Other Fruit
bourbon,washed,guatemala,Nutty
ethiopia heirloom,washed,ethiopia,Citrus Fruit
bourbon,washed,burundi,Citrus Fruit
bourbon,washed,rwanda,Brown Spice
catuai,natural,brazil,Stone Fruit
caturra,pulped natural,colombia,Floral
castillo,washed,colombia,Cocoa
bourbon,washed,tanzania,Cocoa
bourbon,washed,rwanda,Stone Fruit
typica,washed,papua new guinea,Stone Fruit
caturra,washed,colombia,Other Fruit
pacas,washed,honduras,Stone Fruit
bourbon,washed,democratic republic of the congo,Berry Fruit
catuai,washed,costa rica,Brown Sugar
bourbon,washed,el salvador,Brown Sugar
caturra,washed,colombia,Other Fruit
bourbon,washed,rwanda,Brown Sugar
heirloom,natural,ethiopia,Cocoa
castillo,washed,colombia,Stone Fruit
bourbon,washed,guatemala,Berry Fruit
sl28,washed,kenya,Floral
74110,natural,ethiopia,Other Fruit
caturra,washed,colombia,Brown Sugar
caturra,washed,colombia,Stone Fruit
heirloom,washed,ethiopia,Black Tea
